Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.397030,0.393165,0.395374,0.068447,633830
1962-01-03,0.000000,0.395374,0.375495,0.378808,0.065579,6564672
1962-01-04,0.000000,0.382121,0.373286,0.374943,0.064910,1199750
1962-01-05,0.000000,0.373286,0.360033,0.362242,0.062711,520646
1962-01-08,0.000000,0.365555,0.361138,0.363346,0.062903,1380845
1962-01-09,0.000000,0.369421,0.364451,0.365003,0.063189,1177114
1962-01-10,0.000000,0.373286,0.366107,0.371077,0.064241,882835
1962-01-11,0.000000,0.373286,0.367764,0.372182,0.064432,588557
1962-01-12,0.000000,0.375495,0.371077,0.371077,0.064241,407462
1962-01-15,0.000000,0.373286,0.366660,0.367764,0.063667,792288
1962-01-16,0.000000,0.365555,0.362242,0.363346,0.062903,384826
1962-01-17,0.000000,0.364451,0.354511,0.354511,0.061373,498010
1962-01-18,0.000000,0.361138,0.352302,0.361138,0.062520,1177114
1962-01-19,0.000000,0.369973,0.362242,0.367764,0.063667,633830
1962-01-22,0.000000,0.368868,0.362242,0.364451,0.063094,837562
1962-01-23,0.000000,0.363346,0.360033,0.362242,0.062711,928109
1962-01-24,0.000000,0.365555,0.357824,0.365003,0.063189,996019
1962-01-25,0.000000,0.365003,0.362242,0.363346,0.062903,611194
1962-01-26,0.000000,0.362242,0.354511,0.354511,0.061373,928109
1962-01-29,0.000000,0.363346,0.356168,0.362242,0.062711,747014
1962-01-30,0.000000,0.365003,0.361690,0.361690,0.062616,882835
1962-01-31,0.000000,0.366660,0.361138,0.366660,0.063476,814925
1962-02-01,0.000000,0.368868,0.365555,0.368868,0.063858,498010
1962-02-02,0.000000,0.368868,0.366660,0.368868,0.063858,430099
1962-02-05,0.000000,0.369973,0.365555,0.367764,0.063667,928109
1962-02-06,0.000000,0.372182,0.368316,0.372182,0.064432,1448755
1962-02-07,0.000000,0.372734,0.369421,0.372734,0.064528,588557
1962-02-08,0.000000,0.373286,0.369421,0.372734,0.064528,475373
1962-02-09,0.000000,0.376047,0.371077,0.376047,0.065101,679104
1962-02-12,0.000000,0.375495,0.373286,0.374390,0.064814,135821
